,index,track_id,name,artists_names,artists_ids,artists_count,popularity,duration
1328,1328,4jTlhnW8wp7ANU36iRgbQK,Trauma,NTO,7ry8L53T4oJtSIogGYuioq,1,34,13.502683333333334
1329,1329,3lPI46p0pwb1bYw6PFrARx,Wake up Darling,Le Garde,0ff7NMD3Wk4sL2CIe3xHSY,1,18,3.9215666666666666
1330,1330,5g156dLltdf0n3t67e2fDW,Моя основа,Лампасы,0XSZ0HEPsVJNzVWsj3a6xP,1,29,2.62135
1331,1331,7AM3lJy8pHDCkgmDCoffnI,Blitzkrieg Bop,Redska,19bG4KhSaqIdhGsywYb7Mf,1,31,2.574883333333333
1332,1332,1tN1n4JqK36lBxmHU72STB,Shout Out Loud,Rude Tins,20XsDMN8RhkHSmnH2DrgAz,1,4,2.9917666666666665
1333,1333,3UXdGMBDABHzvcBGxjXi47,Within Myself - Original Mix,Christian Smith,0Z2EpubIhxnq4B6PV0I8n3,1,9,7.264833333333334
1334,1334,0KIPa0YuQ5QFmlAqRyXNd9,At the River,Groove Armada,67tgMwUfnmqzYsNAtnP6YJ,1,60,6.560666666666667
1335,1335,79YaAXvO4TOn1tV0Y1b2I9,Безмато,Ivan Dorn,1VZ1TofaV3kj90QJSdg6NG,1,16,3.7097333333333333
1336,1336,4Ec1kA0xhTmBHfm0kboeik,In A Sentimental Mood,"Duke Ellington, John Coltrane","4F7Q5NV6h5TSwCainz8S5A, 2hGh5VOeeqimQFxqXvfCUf",2,7,4.257766666666667
1337,1337,2YEr07055St40kz0aUfm4f,Simple Things,Miguel,360IAlyVv4PCEVjgyMZrxK,1,54,3.2671
1338,1338,6M5hvy4gXgBsBwHRImZ8xb,Like Lust,MOVEMENT,3x7BaW5q1SDNv6bVrbOCmX,1,42,4.696233333333334
1339,1339,5fpizYGbi5IQoEraj6FP0R,Intergalactic - Remastered 2009,Beastie Boys,03r4iKL2g2442PT9n2UKsx,1,68,3.858216666666667
1340,1340,1M3Q6JBxczHas388EfotPV,Mope,Bloodhound Gang,6nDLku5uL3ou60kvCGZorh,1,47,4.6111
1341,1341,0coGyBNQcxxqkOOT2UhT4v,Can't You See,"Total, The Notorious B.I.G.","1urjDGTd4iBze91Z1W1gu7, 5me0Irg2ANcsgc93uaYrpb",2,55,4.698
1342,1342,5zCj8ce914astR67bUTT1L,Black River - Lulu Rouge Stella Polaris Remix,"Bomb The Bass, Mark Lanegan","1G3Eh23f2hwhEnAMw7HsZ6, 1fpXM23IoNckJ7NDAm8YJQ",2,2,4.314666666666667
1343,1343,3ZoyWv2kzXlKV2WDnekue2,Mr. Brightside - Live At Connect / 2004,The Killers,0C0XlULifJtAgn6ZNCW2eu,1,28,3.7311
1344,1344,7hQ0ojbeqicGhw0wdUVeaN,We Got the Power (feat. Jehnny Beth),"Gorillaz, Jehnny Beth","3AA28KZvwAUcZuOKwyblJQ, 2WOMBqEsllg2ICn7D2L8ta",2,49,2.326
1345,1345,3DmMNjjYb4xedWBXAN6IUM,Playing For You,Joe Hertz,76QHVIjgqlkWB9LNGliman,1,48,4.314916666666667
1346,1346,0rKWOuuXBUi3jBGptuOy9S,Van Gogh's Crows,Shahmen,6cP3Wpz5sIVqvADsE7D6eG,1,36,2.466466666666667
1347,1347,2d8D7uk3tbAThjRkdfrx9c,Voyage voyage,Desireless,1yjAx9cww4f1QuAaN3dUI2,1,70,4.443333333333333
1348,1348,5DJNyvuMmZfsfvdTpMMmUq,Sour Patch Kids,Bryce Vine,1ShZZUjkbXCjhwrb18BA8I,1,68,4.2091
1349,1349,0iA3xXSkSCiJywKyo1UKjQ,Louie Louie,The Kingsmen,2iIn8H3l2NNBNHFpYKWbfo,1,65,2.75635
1350,1350,6qZjm61s6u8Ead9sWxCDro,Elephant,Tame Impala,5INjqkS1o8h1imAzPqGZBb,1,71,3.5204333333333335
