,artist,name,pop,genres,followers
696,2pQj31A8LgfwBTGmhHdRXa,Lawrence Hart,38,,4340
697,6Uzy6y5KKy3F4G5NdKeiUd,Casually Here,18,,519
698,2GVdfwjBqFpsEfNZOdBREX,Amit,14,drumfunk,3173
699,2DgGLV1xqpGLUsVSi5B5ZY,Rani,29,classic indo pop,2545
700,0Mz5XE0kb1GBnbLQm2VbcO,Mos Def,64,"alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop",1248647
701,4aoS8xjLh7iC8vgyEMtBlD,Stand High Patrol,47,french dub,115494
702,59xdAObFYuaKO2phzzz07H,Special Request,33,"breaks,float house,uk bass",33177
703,06tx6ueiCMiQl07jV0j1gb,Shan,25,,1395
704,4jLpm91Tyk2TRgv43bMfZO,Gerd Janson,41,"frankfurt electronic,german house",24801
705,0o9eLbvKL4PGG549qygy1o,False Persona,23,,2973
706,4jGpKAmwvU263l0tUh4xKU,Joris Voorn,53,"dutch tech house,microhouse,minimal techno,tech house",141843
707,1FWowTsaucHkPDgmAGGk4T,Allen Mock,35,japanese edm,14917
708,2qntwTfzCkrCHjzi4SPSAt,Chow Chow,33,,956
709,2hPCF7VDHhihvNdobslOHw,Spada,47,tropical house,16048
710,6SKL1vbKiBzkM1yTdPtxFC,Bonnie Rabson,22,,112
711,4d53BMrRlQkrQMz5d59f2O,Mayer Hawthorne,54,"funk,indie soul,neo soul,pop soul,soul",268074
712,1Q776wzj2mrtXrNu3iH6nk,Archive,47,"electronica,trip hop",238366
713,3ku7SCT22gAupCwi1IOTkX,Hifi Brother,21,,133
714,66NUn0HlKouyshMUZoiKKW,Cornucopia,23,"organic electronic,organic house",4532
715,1HhEaACHL5C2cGB9SqXga1,Krjuk,0,,50
716,5QXLMdpKeByOo5ypH9gT13,Fantastic Negrito,47,"bay area indie,funk,modern blues,modern blues rock",161313
