,track_id,name,n_genres,genre
2456,0l481RtogQ2BHsSecANMed,The Ballad Of Chasey Lain - Bloodhound Gang,7,comic
2457,0l481RtogQ2BHsSecANMed,The Ballad Of Chasey Lain - Bloodhound Gang,7,funk rock
2458,0l481RtogQ2BHsSecANMed,The Ballad Of Chasey Lain - Bloodhound Gang,7,punk
2459,0l481RtogQ2BHsSecANMed,The Ballad Of Chasey Lain - Bloodhound Gang,7,nu metal
2460,6qMVcqQtXBUsR1kQHIa2Qi,Ave Plague - King Plague,2,wave
2461,6qMVcqQtXBUsR1kQHIa2Qi,Ave Plague - King Plague,2,witch house
2462,6Mmfn16y9FPXhjvneVFE9e,Goodbyes - Joachim Pastor,6,tropical house
2463,6Mmfn16y9FPXhjvneVFE9e,Goodbyes - Joachim Pastor,6,minimal techno
2464,6Mmfn16y9FPXhjvneVFE9e,Goodbyes - Joachim Pastor,6,electronica
2465,6Mmfn16y9FPXhjvneVFE9e,Goodbyes - Joachim Pastor,6,new french touch
2466,6Mmfn16y9FPXhjvneVFE9e,Goodbyes - Joachim Pastor,6,deep euro house
2467,6Mmfn16y9FPXhjvneVFE9e,Goodbyes - Joachim Pastor,6,french tech house
2468,2WJpgYDtbRVfHG4yqn92PL,Слабость - Raskar,1,russian reggae
2469,1QINLsXFLt8OOMDqeLwGn9,"Lovers (feat. Seawaves) - Timecop1983, SEAWAVES",2,cyberpunk
2470,1QINLsXFLt8OOMDqeLwGn9,"Lovers (feat. Seawaves) - Timecop1983, SEAWAVES",2,synthwave
2471,5qB3zuAuN8NXNeTaIX2b0K,Весна - Vopli Vidopliassova,4,russian rock
2472,5qB3zuAuN8NXNeTaIX2b0K,Весна - Vopli Vidopliassova,4,ukrainian folk rock
2473,5qB3zuAuN8NXNeTaIX2b0K,Весна - Vopli Vidopliassova,4,classic russian rock
2474,5qB3zuAuN8NXNeTaIX2b0K,Весна - Vopli Vidopliassova,4,ukrainian rock
2475,4PgqemCHlrjBOKHsGMoRqg,"Трава - Jim Pavloff Remix - DJ Boyko, Sound Shocking",1,dubsteppe
2476,3KVY3MsMjlm5ue6ycJhc7G,"Белое безмолвие - Владимир Высоцкий, Инструментальный ансамбль «Мелодия»",5,russian rock
2477,3KVY3MsMjlm5ue6ycJhc7G,"Белое безмолвие - Владимир Высоцкий, Инструментальный ансамбль «Мелодия»",5,bard
2478,3KVY3MsMjlm5ue6ycJhc7G,"Белое безмолвие - Владимир Высоцкий, Инструментальный ансамбль «Мелодия»",5,russian jazz
2479,3KVY3MsMjlm5ue6ycJhc7G,"Белое безмолвие - Владимир Высоцкий, Инструментальный ансамбль «Мелодия»",5,classic russian rock
2480,3KVY3MsMjlm5ue6ycJhc7G,"Белое безмолвие - Владимир Высоцкий, Инструментальный ансамбль «Мелодия»",5,classic russian pop
2481,74iY6hX5yDlnogEAvXBzQe,Это всё - ДДТ,4,russian rock
2482,74iY6hX5yDlnogEAvXBzQe,Это всё - ДДТ,4,classic russian rock
2483,74iY6hX5yDlnogEAvXBzQe,Это всё - ДДТ,4,russian alternative rock
2484,74iY6hX5yDlnogEAvXBzQe,Это всё - ДДТ,4,russian folk rock
2485,2onH3WEYnGdt93NrmYsJSV,Безумцы землю ногами крутят - Truckdrivers,2,russian hardcore
2486,2onH3WEYnGdt93NrmYsJSV,Безумцы землю ногами крутят - Truckdrivers,2,russian ska
2487,2wy29RBixBECDOsXuBs7md,"Free Tibet - Vini Vici Remix - Hilight Tribe, Vini Vici",3,didgeridoo
2488,2wy29RBixBECDOsXuBs7md,"Free Tibet - Vini Vici Remix - Hilight Tribe, Vini Vici",3,progressive uplifting trance
2489,2wy29RBixBECDOsXuBs7md,"Free Tibet - Vini Vici Remix - Hilight Tribe, Vini Vici",3,psychedelic trance
2490,2frBxPNAB2Rnla0IjIxQ3T,Weedwave - Summer Of Haze,3,witch house
2491,2frBxPNAB2Rnla0IjIxQ3T,Weedwave - Summer Of Haze,3,russian electronic
2492,2frBxPNAB2Rnla0IjIxQ3T,Weedwave - Summer Of Haze,3,russian witch house
2493,7HM9nkWJpBgkcPptZ9VGJn,Force - OVERWERK,4,canadian electronic
2494,7HM9nkWJpBgkcPptZ9VGJn,Force - OVERWERK,4,complextro
2495,7HM9nkWJpBgkcPptZ9VGJn,Force - OVERWERK,4,electro house
2496,7HM9nkWJpBgkcPptZ9VGJn,Force - OVERWERK,4,edm
2497,5jIll9kXgKbIlq5YitruFJ,Дичь - Ivan Dorn,4,ukrainian indie
2498,5jIll9kXgKbIlq5YitruFJ,Дичь - Ivan Dorn,4,ukrainian pop
2499,5jIll9kXgKbIlq5YitruFJ,Дичь - Ivan Dorn,4,russian pop
2500,5jIll9kXgKbIlq5YitruFJ,Дичь - Ivan Dorn,4,russian alt pop
